,msstateID,msstate,accent_id,phonword_id,start,end,phonword,atype,strength,da,phrase_id,phrase_start,phrase_end,type,binary_accent
0,sw2969A-ms98-a-0003-16,sw2969A-ms98-a-0003,sw2969.A.acc1.aw16,ms3A_pw9,3.939375,3.969375,i,plain,full,statement,,,,,True
1,sw2969A-ms98-a-0003-19,sw2969A-ms98-a-0003,sw2969.A.acc2.aw19,ms3A_pw12,4.229375,4.869375,Kentucky,nuclear,full,statement,,,,,True
2,sw2969A-ms98-a-0004-22,sw2969A-ms98-a-0004,sw2969.A.acc3.aw22,ms4A_pw13,6.095625,6.825625,originally,nuclear,full,statement,,,,,True
3,sw2969A-ms98-a-0009-39,sw2969A-ms98-a-0009,sw2969.A.acc4.aw39,ms9A_pw21,16.23,16.47,hit,nuclear,full,statement,,,,,True
4,sw2969A-ms98-a-0009-41,sw2969A-ms98-a-0009,sw2969.A.acc5.aw41,ms9A_pw23,16.78,17.03,here,nuclear,full,statement,,,,,True
5,sw2969A-ms98-a-0009-44,sw2969A-ms98-a-0009,sw2969.A.acc6.aw44,ms9A_pw26,17.5,17.93,minutes,nuclear,full,statement,,,,,True
6,sw2969A-ms98-a-0009-46,sw2969A-ms98-a-0009,sw2969.A.acc7.aw46,ms9A_pw28,17.99,18.33,figured,nuclear,full,statement,,,,,True
7,sw2969A-ms98-a-0009-49,sw2969A-ms98-a-0009,sw2969.A.acc8.aw49,ms9A_pw31,18.74,19.04,make,plain,weak,statement,,,,,True
8,sw2969A-ms98-a-0009-51,sw2969A-ms98-a-0009,sw2969.A.acc9.aw51,ms9A_pw33,19.14,19.49,call,nuclear,full,statement,,,,,True
9,sw2969A-ms98-a-0009-55,sw2969A-ms98-a-0009,sw2969.A.acc10.aw55,ms9A_pw37,19.9,20.15,over,nuclear,full,statement,,,,,True
10,sw2969A-ms98-a-0010-69,sw2969A-ms98-a-0010,sw2969.A.acc11.aw69,ms10A_pw49,23.715999999999998,23.866,all,plain,full,statement,,,,,True
11,sw2969A-ms98-a-0010-73,sw2969A-ms98-a-0010,sw2969.A.acc12.aw73,ms10A_pw53,24.176,24.616,doing,nuclear,full,statement,,,,,True
12,sw2969A-ms98-a-0010-75,sw2969A-ms98-a-0010,sw2969.A.acc13.aw75,ms10A_pw55,24.766,25.386,weekend,nuclear,full,statement,,,,,True
13,sw2969A-ms98-a-0016-90,sw2969A-ms98-a-0016,sw2969.A.acc14.aw90,ms16A_pw61,70.033125,70.283125,kids,nuclear,full,wh_q,,,,,True
14,sw2969A-ms98-a-0016-93,sw2969A-ms98-a-0016,sw2969.A.acc15.aw93,ms16A_pw64,70.503125,70.813125,have,nuclear,full,wh_q,,,,,True
15,sw2969A-ms98-a-0021-116,sw2969A-ms98-a-0021,sw2969.A.acc16.aw116,ms21A_pw78,81.180875,81.406375,i've,nuclear,full,statement,,,,,True
17,sw2969A-ms98-a-0021-119,sw2969A-ms98-a-0021,sw2969.A.acc17.aw119,ms21A_pw81,81.696375,82.036375,four,nuclear,full,statement,,,,,True
18,sw2969A-ms98-a-0021-124,sw2969A-ms98-a-0021,sw2969.A.acc18.aw124,ms21A_pw85,82.806375,83.016375,four,nuclear,full,statement,,,,,True
19,sw2969A-ms98-a-0021-129,sw2969A-ms98-a-0021,sw2969.A.acc19.aw129,ms21A_pw90,83.846375,84.086375,four,nuclear,full,statement,,,,,True
20,sw2969A-ms98-a-0022-136,sw2969A-ms98-a-0022,sw2969.A.acc20.aw136,ms22A_pw95,85.658375,85.818375,eight,nuclear,full,statement,,,,,True
21,sw2969A-ms98-a-0022-139,sw2969A-ms98-a-0022,sw2969.A.acc21.aw139,ms22A_pw98,86.198375,87.017375,stepdaughter,nuclear,full,statement,,,,,True
22,sw2969A-ms98-a-0024-145,sw2969A-ms98-a-0024,sw2969.A.acc22.aw145,ms24A_pw100,91.543625,91.603625,you,nuclear,full,statement,,,,,True
23,sw2969A-ms98-a-0024-148,sw2969A-ms98-a-0024,sw2969.A.acc23.aw148,ms24A_pw103,91.753625,91.843625,have,plain,weak,statement,,,,,True
24,sw2969A-ms98-a-0024-150,sw2969A-ms98-a-0024,sw2969.A.acc24.aw150,ms24A_pw105,91.963625,92.213625,tend,plain,full,statement,,,,,True
25,sw2969A-ms98-a-0024-152,sw2969A-ms98-a-0024,sw2969.A.acc25.aw152,ms24A_pw107,92.333625,93.103125,[laughter-him],nuclear,full,statement,,,,,True
26,sw2969A-ms98-a-0029-175,sw2969A-ms98-a-0029,sw2969.A.acc26.aw175,ms29A_pw120,108.715875,108.845875,i,plain,full,statement,,,,,True
27,sw2969A-ms98-a-0029-178,sw2969A-ms98-a-0029,sw2969.A.acc27.aw178,ms29A_pw123,109.205875,109.585875,nuke,nuclear,full,statement,,,,,True
28,sw2969A-ms98-a-0029-181,sw2969A-ms98-a-0029,sw2969.A.acc28.aw181,ms29A_pw126,109.945875,110.035875,do,nuclear,full,statement,,,,,True
29,sw2969A-ms98-a-0030-192,sw2969A-ms98-a-0030,sw2969.A.acc29.aw192,ms30A_pw134,114.0735,114.32125,it,nuclear,full,statement,,,,,True
30,sw2969A-ms98-a-0030-196,sw2969A-ms98-a-0030,sw2969.A.acc30.aw196,ms30A_pw137,115.197625,115.6505,oh,nuclear,full,statement,,,,,True
31,sw2969A-ms98-a-0030-198,sw2969A-ms98-a-0030,sw2969.A.acc31.aw198,ms30A_pw138,116.11375,116.296,i'll,nuclear,full,statement,,,,,True
33,sw2969A-ms98-a-0030-203,sw2969A-ms98-a-0030,sw2969.A.acc32.aw203,ms30A_pw143,116.88600000000001,117.126,pull,plain,weak,statement,,,,,True
34,sw2969A-ms98-a-0030-205,sw2969A-ms98-a-0030,sw2969.A.acc33.aw205,ms30A_pw145,117.266,117.63600000000001,weeds,nuclear,full,statement,,,,,True
35,sw2969A-ms98-a-0030-207,sw2969A-ms98-a-0030,sw2969.A.acc34.aw207,ms30A_pw147,117.696,117.796,do,plain,full,statement,,,,,True
36,sw2969A-ms98-a-0030-209,sw2969A-ms98-a-0030,sw2969.A.acc35.aw209,ms30A_pw149,117.926,118.10600000000001,have,nuclear,full,statement,,,,,True
37,sw2969A-ms98-a-0030-211,sw2969A-ms98-a-0030,sw2969.A.acc36.aw211,ms30A_pw151,118.186,118.436,real,nuclear,full,statement,,,,,True
38,sw2969A-ms98-a-0030-213,sw2969A-ms98-a-0030,sw2969.A.acc37.aw213,ms30A_pw153,118.686,118.99600000000001,front,nuclear,full,statement,,,,,True
39,sw2969A-ms98-a-0031-219,sw2969A-ms98-a-0031,sw2969.A.acc38.aw219,ms31A_pw157,120.3325,120.5425,do,nuclear,full,statement,,,,,True
40,sw2969A-ms98-a-0031-222,sw2969A-ms98-a-0031,sw2969.A.acc39.aw222,ms31A_pw159,121.20875,121.5925,half,nuclear,full,statement,,,,,True
41,sw2969A-ms98-a-0031-228,sw2969A-ms98-a-0031,sw2969.A.acc40.aw228,ms31A_pw164,122.6525,123.0825,flower,nuclear,full,statement,,,,,True
42,sw2969A-ms98-a-0031-232,sw2969A-ms98-a-0031,sw2969.A.acc41.aw232,ms31A_pw167,124.0925,124.5525,about,nuclear,full,statement,,,,,True
43,sw2969A-ms98-a-0031-233,sw2969A-ms98-a-0031,sw2969.A.acc42.aw233,ms31A_pw168,124.5525,124.7425,all,plain,full,statement,,,,,True
44,sw2969A-ms98-a-0031-236,sw2969A-ms98-a-0031,sw2969.A.acc43.aw236,ms31A_pw171,124.9725,125.451375,porch,nuclear,full,statement,,,,,True
45,sw2969A-ms98-a-0032-252,sw2969A-ms98-a-0032,sw2969.A.acc44.aw252,ms32A_pw184,129.395375,129.725375,pulling,plain,full,statement,,,,,True
46,sw2969A-ms98-a-0032-255,sw2969A-ms98-a-0032,sw2969.A.acc45.aw255,ms32A_pw187,129.965375,130.405375,weeds,nuclear,full,statement,,,,,True
47,sw2969A-ms98-a-0032-258,sw2969A-ms98-a-0032,sw2969.A.acc46.aw258,ms32A_pw190,130.685375,131.005375,that,plain,weak,statement,,,,,True
48,sw2969A-ms98-a-0032-266,sw2969A-ms98-a-0032,sw2969.A.acc47.aw266,ms32A_pw198,132.525375,132.755375,like,nuclear,full,statement,,,,,True
49,sw2969A-ms98-a-0032-269,sw2969A-ms98-a-0032,sw2969.A.acc48.aw269,ms32A_pw201,132.985375,133.095375,i,plain,full,statement,,,,,True
50,sw2969A-ms98-a-0032-272,sw2969A-ms98-a-0032,sw2969.A.acc49.aw272,ms32A_pw204,133.525375,133.835375,out,nuclear,full,statement,,,,,True
51,sw2969A-ms98-a-0032-274,sw2969A-ms98-a-0032,sw2969.A.acc50.aw274,ms32A_pw206,134.055375,134.605375,weekend,nuclear,full,statement,,,,,True
52,sw2969A-ms98-a-0032-276,sw2969A-ms98-a-0032,sw2969.A.acc51.aw276,ms32A_pw208,134.735375,134.955375,bought,nuclear,full,statement,,,,,True
53,sw2969A-ms98-a-0032-280,sw2969A-ms98-a-0032,sw2969.A.acc52.aw280,ms32A_pw211,135.995375,136.435375,plants,nuclear,full,statement,,,,,True
54,sw2969A-ms98-a-0032-282,sw2969A-ms98-a-0032,sw2969.A.acc53.aw282,ms32A_pw213,136.565375,136.935375,stuff,nuclear,full,statement,,,,,True
55,sw2969A-ms98-a-0032-284,sw2969A-ms98-a-0032,sw2969.A.acc54.aw284,ms32A_pw215,137.065375,137.165375,i,nuclear,full,statement,,,,,True
56,sw2969A-ms98-a-0033-288,sw2969A-ms98-a-0033,sw2969.A.acc55.aw288,ms33A_pw217,138.828875,139.228875,plowed,nuclear,full,statement,,,,,True
57,sw2969A-ms98-a-0033-291,sw2969A-ms98-a-0033,sw2969.A.acc56.aw291,ms33A_pw220,139.838875,140.25625,whole,nuclear,full,statement,,,,,True
58,sw2969A-ms98-a-0033-293,sw2969A-ms98-a-0033,sw2969.A.acc57.aw293,ms33A_pw221,140.580125,140.868875,nine,nuclear,full,statement,,,,,True
59,sw2969A-ms98-a-0033-298,sw2969A-ms98-a-0033,sw2969.A.acc58.aw298,ms33A_pw226,142.238875,142.388875,there,nuclear,full,statement,,,,,True
60,sw2969A-ms98-a-0033-303,sw2969A-ms98-a-0033,sw2969.A.acc59.aw303,ms33A_pw229,143.911,144.358875,plants,nuclear,full,statement,,,,,True
61,sw2969A-ms98-a-0033-306,sw2969A-ms98-a-0033,sw2969.A.acc60.aw306,ms33A_pw232,144.558875,144.838875,just,nuclear,full,statement,,,,,True
62,sw2969A-ms98-a-0033-307,sw2969A-ms98-a-0033,sw2969.A.acc61.aw307,ms33A_pw233,144.838875,145.238875,spring,nuclear,full,statement,,,,,True
63,sw2969A-ms98-a-0033-308,sw2969A-ms98-a-0033,sw2969.A.acc62.aw308,ms33A_pw234,145.238875,145.982625,bloomers,plain,weak,statement,,,,,True
64,sw2969A-ms98-a-0034-319,sw2969A-ms98-a-0034,sw2969.A.acc63.aw319,ms34A_pw241,149.201,149.652125,blooms,nuclear,full,statement,,,,,True
65,sw2969A-ms98-a-0034-322,sw2969A-ms98-a-0034,sw2969.A.acc64.aw322,ms34A_pw244,150.102125,150.442125,leaves,nuclear,full,statement,,,,,True
66,sw2969A-ms98-a-0034-325,sw2969A-ms98-a-0034,sw2969.A.acc65.aw325,ms34A_pw247,150.782125,151.202125,horrible,plain,full,statement,,,,,True
67,sw2969A-ms98-a-0035-330,sw2969A-ms98-a-0035,sw2969.A.acc66.aw330,ms35A_pw250,152.67775,152.78775,i,nuclear,full,statement,,,,,True
68,sw2969A-ms98-a-0035-333,sw2969A-ms98-a-0035,sw2969.A.acc67.aw333,ms35A_pw252,153.63425,153.91775,broke,nuclear,full,statement,,,,,True
69,sw2969A-ms98-a-0035-335,sw2969A-ms98-a-0035,sw2969.A.acc68.aw335,ms35A_pw254,154.11775,154.34775,them,plain,full,statement,,,,,True
70,sw2969A-ms98-a-0035-345,sw2969A-ms98-a-0035,sw2969.A.acc69.aw345,ms35A_pw263,156.64775,156.87775,seen,plain,full,yn_q,,,,,True
