,msstateID,msstate,accent_id,phonword_id,start,end,phonword,atype,strength,da,phrase_id,phrase_start,phrase_end,type,binary_accent
0,sw2285A-ms98-a-0002-7,sw2285A-ms98-a-0002,sw2285.A.acc1.aw7,ms2A_pw2,0.817625,1.208375,well,nuclear,full,statement,,,,,True
1,sw2285A-ms98-a-0002-12,sw2285A-ms98-a-0002,sw2285.A.acc2.aw12,ms2A_pw7,1.983875,2.613875,Burlington's,pre-nuclear,full,statement,,,,,True
3,sw2285A-ms98-a-0002-13,sw2285A-ms98-a-0002,sw2285.A.acc3.aw13,ms2A_pw8,2.613875,3.177,crime,nuclear,full,statement,,,,,True
4,sw2285A-ms98-a-0002-16,sw2285A-ms98-a-0002,sw2285.A.acc4.aw16,ms2A_pw10,3.903875,4.233875,doesn't,plain,full,statement,,,,,True
6,sw2285A-ms98-a-0002-17,sw2285A-ms98-a-0002,sw2285.A.acc5.aw17,ms2A_pw11,4.233875,4.843875,involve,plain,full,statement,,,,,True
7,sw2285A-ms98-a-0002-18,sw2285A-ms98-a-0002,sw2285.A.acc6.aw18,ms2A_pw12,4.843875,5.623875,children,nuclear,full,statement,,,,,True
8,sw2285A-ms98-a-0002-22,sw2285A-ms98-a-0002,sw2285.A.acc7.aw22,ms2A_pw16,6.623875,6.993875,see,plain,full,statement,,,,,True
9,sw2285A-ms98-a-0002-25,sw2285A-ms98-a-0002,sw2285.A.acc8.aw25,ms2A_pw19,7.143875,7.613875,TV's,nuclear,full,statement,,,,,True
12,sw2285A-ms98-a-0002-27,sw2285A-ms98-a-0002,sw2285.A.acc9.aw27,ms2A_pw21,7.833875,7.983875,you,nuclear,full,statement,,,,,True
13,sw2285A-ms98-a-0002-31,sw2285A-ms98-a-0002,sw2285.A.acc10.aw31,ms2A_pw24,8.943875,9.663875,Washington,nuclear,full,statement,,,,,True
14,sw2285A-ms98-a-0002-33,sw2285A-ms98-a-0002,sw2285.A.acc11.aw33,ms2A_pw26,9.823875,10.043625,New,nuclear,full,statement,,,,,True
