,break_id,btime,index,phraseTone,boundaryTone,phonword_id,start,end,phonword,binary_break
0,sw2370B.break.1,2.076875,1,None,None,ms2B_pw1,1.836875,2.076875,so,False
1,sw2370B.break.2,2.499875,3,None,None,ms2B_pw2,2.076875,2.499875,well,True
2,sw2370B.break.3,3.006875,1p,None,None,ms2B_pw4,2.716875,3.006875,you['re]-,False
3,sw2370B.break.4,3.616875,1p,None,None,ms2B_pw5,3.006875,3.616875,you're,False
4,sw2370B.break.5,3.616875,2p,None,None,ms2B_pw5,3.006875,3.616875,you're,False
5,sw2370B.break.6,4.086875,1p,None,None,ms2B_pw7,3.886875,4.086875,you,False
6,sw2370B.break.7,4.086875,1,None,None,ms2B_pw7,3.886875,4.086875,you,False
7,sw2370B.break.8,4.356875,1,None,None,ms2B_pw8,4.086875,4.356875,take,False
8,sw2370B.break.9,4.496875,1,None,None,ms2B_pw9,4.356875,4.496875,this,False
9,sw2370B.break.10,4.796875,1,None,None,ms2B_pw10,4.496875,4.796875,subject,False
10,sw2370B.break.11,4.976875,1,None,None,ms2B_pw11,4.796875,4.976875,much,False
11,sw2370B.break.12,5.116875,1,None,None,ms2B_pw12,4.976875,5.116875,more,False
12,sw2370B.break.13,5.616875,1,None,None,ms2B_pw13,5.116875,5.616875,personally,False
13,sw2370B.break.14,5.776875,1,None,None,ms2B_pw14,5.616875,5.776875,than,False
14,sw2370B.break.15,5.876875,1,None,None,ms2B_pw15,5.776875,5.876875,i,False
15,sw2370B.break.16,6.096875,3-,!H,None,ms2B_pw16,5.876875,6.096875,do,True
16,sw2370B.break.17,6.21525,1,None,None,ms2B_pw17,6.096875,6.21525,i,False
17,sw2370B.break.18,6.65725,4,None,None,ms2B_pw18,6.21525,6.65725,suppose,True
18,sw2370A.break.2,7.22725,1,None,None,ms2A_pw1,7.04725,7.22725,i,False
19,sw2370A.break.3,7.59725,1,None,None,ms2A_pw2,7.22725,7.59725,suppose,False
20,sw2370A.break.4,7.69725,1,None,None,ms2A_pw3,7.59725,7.69725,i,False
21,sw2370A.break.5,7.92725,4,L,L,ms2A_pw4,7.69725,7.92725,do,True
22,sw2370A.break.6,8.16725,1,None,None,ms2A_pw5,7.92725,8.16725,because,False
23,sw2370A.break.7,8.31725,1,None,None,ms2A_pw6,8.16725,8.31725,i've,False
24,sw2370A.break.8,8.63725,1,None,None,ms2A_pw7,8.31725,8.63725,seen,False
25,sw2370A.break.9,8.67725,1,None,None,ms2A_pw8,8.63725,8.67725,a,False
26,sw2370A.break.10,8.83725,1,None,None,ms2A_pw9,8.67725,8.83725,lot,False
27,sw2370A.break.11,8.90725,1,None,None,ms2A_pw10,8.83725,8.90725,of,False
28,sw2370A.break.12,9.08725,1,None,None,ms2A_pw11,8.90725,9.08725,those,False
29,sw2370A.break.13,9.632375,4,None,None,ms2A_pw12,9.08725,9.632375,changes,True
30,sw2370A.break.14,10.42725,1p,None,None,ms2A_pw14,10.27725,10.42725,the,False
31,sw2370A.break.15,10.42725,1,None,None,ms2A_pw14,10.27725,10.42725,the,False
32,sw2370A.break.16,10.81725,1,None,None,ms2A_pw15,10.42725,10.81725,changes,False
33,sw2370A.break.17,10.99725,3p,L,None,ms2A_pw16,10.81725,10.99725,that,True
34,sw2370A.break.18,11.22725,1,None,None,ms2A_pw17,10.99725,11.22725,women,False
35,sw2370A.break.19,11.35725,1,None,None,ms2A_pw18,11.22725,11.35725,have,False
36,sw2370A.break.20,11.51725,1,None,None,ms2A_pw19,11.35725,11.51725,had,False
37,sw2370A.break.21,11.61725,1,None,None,ms2A_pw20,11.51725,11.61725,in,False
38,sw2370A.break.22,11.69725,1,None,None,ms2A_pw21,11.61725,11.69725,the,False
39,sw2370A.break.23,12.03725,1,None,None,ms2A_pw22,11.69725,12.03725,last,False
40,sw2370A.break.24,12.37725,1p,None,None,ms2A_pw23,12.03725,12.37725,genera[tion]-,False
41,sw2370A.break.25,12.69725,3p,L,None,ms2A_pw24,12.37725,12.69725,well,True
42,sw2370A.break.26,12.84725,0,None,None,ms2A_pw25,12.69725,12.84725,you,False
43,sw2370A.break.27,12.974,4,None,None,ms2A_pw26,12.84725,12.974,know,True
44,sw2370A.break.28,13.25725,1,None,None,ms2A_pw27,13.07575,13.25725,not,False
45,sw2370A.break.29,13.37725,1,None,None,ms2A_pw28,13.25725,13.37725,even,False
46,sw2370A.break.30,13.43725,1,None,None,ms2A_pw29,13.37725,13.43725,the,False
47,sw2370A.break.31,13.62725,1,None,None,ms2A_pw30,13.43725,13.62725,last,False
48,sw2370A.break.32,14.04725,3-,L,None,ms2A_pw31,13.62725,14.04725,generation,True
49,sw2370A.break.33,14.13725,1,None,None,ms2A_pw32,14.04725,14.13725,the,False
50,sw2370A.break.34,14.3935,2p,None,None,ms2A_pw33,14.13725,14.3935,last,False
51,sw2370A.break.35,15.10725,1,None,None,ms2A_pw34,14.68725,15.10725,fifteen,False
52,sw2370A.break.36,15.574125,4,None,None,ms2A_pw35,15.10725,15.574125,years,True
53,sw2370B.break.19,16.082,X,None,None,ms4B_pw19,15.690999999999999,16.082,uh-huh,False
54,sw2370A.break.37,16.47725,1,None,None,ms2A_pw36,16.214375,16.47725,twenty,False
55,sw2370A.break.38,16.86725,3-,!H,None,ms2A_pw37,16.47725,16.86725,years,True
56,sw2370A.break.39,17.18725,1,None,None,ms2A_pw38,16.86725,17.18725,going,False
57,sw2370A.break.40,17.5655,4,None,None,ms2A_pw39,17.18725,17.5655,from,True
58,sw2370A.break.41,18.33925,4,None,None,ms2A_pw40,18.0815,18.33925,well,True
59,sw2370A.break.42,19.149875,0,None,None,ms3A_pw41,19.039875,19.149875,take,False
60,sw2370A.break.43,19.229875,1,None,None,ms3A_pw42,19.149875,19.229875,it,False
61,sw2370A.break.44,19.409875,3,L,None,ms3A_pw43,19.229875,19.409875,back,True
62,sw2370A.break.45,19.749875,1,None,None,ms3A_pw44,19.409875,19.749875,thirty,False
63,sw2370A.break.46,20.13175,4,L,L,ms3A_pw45,19.749875,20.13175,years,True
64,sw2370A.break.48,20.789875,1,None,None,ms3A_pw46,20.693,20.789875,i'm,False
65,sw2370A.break.49,20.969875,1,None,None,ms3A_pw47,20.789875,20.969875,going,False
66,sw2370A.break.50,21.139875,1,None,None,ms3A_pw48,20.969875,21.139875,back,False
67,sw2370A.break.51,21.289875,1,None,None,ms3A_pw49,21.139875,21.289875,too,False
68,sw2370A.break.52,21.519875,4,L,H,ms3A_pw50,21.289875,21.519875,far,True
69,sw2370A.break.53,21.689875,1,None,None,ms3A_pw51,21.519875,21.689875,from,False
70,sw2370A.break.54,21.829875,1,None,None,ms3A_pw52,21.689875,21.829875,my,False
71,sw2370A.break.55,22.219875,1,None,None,ms3A_pw53,21.829875,22.219875,parents',False
72,sw2370A.break.56,23.299875,4,None,None,ms3A_pw54,22.219875,23.299875,generation,True
73,sw2370A.break.57,23.71825,2p,None,None,ms3A_pw55,23.299875,23.71825,when,False
74,sw2370A.break.58,24.469875,1,None,None,ms3A_pw56,24.219125,24.469875,mom,False
75,sw2370A.break.59,24.769875,1,None,None,ms3A_pw57,24.469875,24.769875,stayed,False
76,sw2370A.break.60,25.27075,4,None,None,ms3A_pw58,24.769875,25.27075,home,True
77,sw2370B.break.20,26.0895,4,None,None,ms6B_pw20,25.803625,26.0895,yeah,True
78,sw2370A.break.61,26.2835,2p,None,None,ms4A_pw59,25.74175,26.2835,period,False
79,sw2370A.break.62,26.4835,1p,None,None,ms4A_pw60,26.2835,26.4835,an[d]-,False
80,sw2370A.break.63,26.8835,2p,None,None,ms4A_pw61,26.4835,26.8835,and,False
81,sw2370A.break.64,27.0235,1,None,None,ms4A_pw62,26.8835,27.0235,there,False
82,sw2370A.break.65,27.2435,1,None,None,ms4A_pw63,27.0235,27.2435,was,False
83,sw2370A.break.66,27.3735,1,None,None,ms4A_pw64,27.2435,27.3735,no,False
84,sw2370A.break.67,27.6335,1,None,None,ms4A_pw65,27.3735,27.6335,such,False
85,sw2370A.break.68,27.8235,1,None,None,ms4A_pw66,27.6335,27.8235,thing,False
86,sw2370A.break.69,27.9235,1,None,None,ms4A_pw67,27.8235,27.9235,as,False
87,sw2370A.break.70,27.9835,1,None,None,ms4A_pw68,27.9235,27.9835,a,False
88,sw2370A.break.71,28.4635,4,H,L,ms4A_pw69,27.9835,28.4635,job,True
89,sw2370A.break.72,28.703375,2p,None,None,ms4A_pw70,28.4635,28.703375,or,False
