,break_id,btime,index,phraseTone,boundaryTone,phonword_id,start,end,phonword,binary_break
0,sw2184A.break.2,1.367375,X,None,None,ms2A_pw1,0.987375,1.367375,uh,False
1,sw2184A.break.3,2.68225,1,None,None,ms3A_pw2,2.3115,2.68225,being,False
2,sw2184A.break.4,2.807875,1,None,None,ms3A_pw3,2.68225,2.807875,a,False
3,sw2184A.break.5,3.249875,1,None,None,ms3A_pw4,2.807875,3.249875,former,False
4,sw2184A.break.6,3.536125,1-,None,None,ms3A_pw5,3.249875,3.536125,drug,False
5,sw2184A.break.7,4.139625,4-,L,H,ms3A_pw6,3.536125,4.139625,user,True
6,sw2184B.break.3,5.42625,4,H,L,ms3B_pw1,4.98625,5.42625,whoa,True
7,sw2184A.break.9,7.967125,2p,None,None,ms4A_pw7,7.517125,7.967125,i,False
8,sw2184A.break.10,8.35925,X,None,None,ms4A_pw8,7.967125,8.35925,uh,False
9,sw2184A.break.11,8.78975,1p,None,None,ms4A_pw9,8.562625,8.78975,i'd,False
10,sw2184A.break.12,9.13225,1,None,None,ms4A_pw10,8.9065,9.13225,i,False
11,sw2184A.break.13,9.397125,1,None,None,ms4A_pw11,9.13225,9.397125,guess,False
12,sw2184A.break.14,9.46875,1,None,None,ms4A_pw12,9.397125,9.46875,i,False
13,sw2184A.break.15,9.597125,1,None,None,ms4A_pw13,9.46875,9.597125,have,False
14,sw2184A.break.16,9.727125,1,None,None,ms4A_pw14,9.597125,9.727125,to,False
15,sw2184A.break.17,10.017125,1,None,None,ms4A_pw15,9.727125,10.017125,say,False
16,sw2184A.break.18,10.137125,1,None,None,ms4A_pw16,10.017125,10.137125,at,False
17,sw2184A.break.19,10.337125,1,None,None,ms4A_pw17,10.137125,10.337125,this,False
18,sw2184A.break.20,10.717125,4-,L,H,ms4A_pw18,10.337125,10.717125,point,True
19,sw2184A.break.21,10.826875,1,None,None,ms4A_pw19,10.717125,10.826875,that,False
20,sw2184A.break.22,11.000125,1,None,None,ms4A_pw20,10.826875,11.000125,i,False
21,sw2184A.break.23,11.27825,1,None,None,ms4A_pw21,11.000125,11.27825,do,False
22,sw2184A.break.24,11.682625,1,None,None,ms4A_pw22,11.27825,11.682625,approve,False
23,sw2184A.break.25,11.927125,1,None,None,ms4A_pw23,11.682625,11.927125,of,False
24,sw2184A.break.26,12.267125,4,None,None,ms4A_pw24,11.927125,12.267125,it,True
25,sw2184B.break.4,12.7265,X,None,None,ms5B_pw2,12.3265,12.7265,uh-huh,False
26,sw2184A.break.27,13.151625,X,None,X,ms5A_pw25,12.87625,13.151625,uh,False
27,sw2184A.break.28,13.630625,2,None,None,ms5A_pw26,13.151625,13.630625,because,False
28,sw2184A.break.29,13.83275,1,None,None,ms5A_pw27,13.630625,13.83275,i,False
29,sw2184A.break.30,14.369875,3,None,None,ms5A_pw28,13.83275,14.369875,know,True
30,sw2184A.break.31,15.5555,2p,None,None,ms6A_pw29,15.29425,15.5555,that,False
31,sw2184A.break.32,16.16925,X,None,None,ms6A_pw30,15.843375,16.16925,uh,False
32,sw2184A.break.34,17.90975,1,None,None,ms7A_pw31,17.63175,17.90975,in,False
33,sw2184A.break.35,18.366,1,None,None,ms7A_pw32,17.90975,18.366,using,False
34,sw2184A.break.36,18.90075,4,None,None,ms7A_pw33,18.366,18.90075,drugs,True
35,sw2184A.break.37,19.629,1p,None,None,ms7A_pw34,19.42975,19.629,i,False
36,sw2184A.break.38,19.961,1,None,None,ms7A_pw35,19.7495,19.961,was,False
37,sw2184A.break.39,20.217125,1,None,None,ms7A_pw36,19.961,20.217125,not,False
38,sw2184A.break.40,20.34,1,None,None,ms7A_pw37,20.217125,20.34,a,False
39,sw2184A.break.41,20.539625,1,None,None,ms7A_pw38,20.34,20.539625,good,False
40,sw2184A.break.42,21.22975,4,None,None,ms7A_pw39,20.539625,21.22975,employee,True
41,sw2184B.break.5,21.925,X,None,None,ms7B_pw3,21.515,21.925,uh-huh,False
42,sw2184A.break.43,23.237625,3,!H,None,ms8A_pw40,22.59475,23.237625,and,True
43,sw2184A.break.44,23.63275,3,!H,None,ms8A_pw41,23.237625,23.63275,so,True
44,sw2184A.break.45,23.851,1,None,None,ms8A_pw42,23.63275,23.851,i,False
45,sw2184A.break.46,24.09825,1,None,None,ms8A_pw43,23.851,24.09825,can,False
46,sw2184A.break.47,24.502375,1,None,None,ms8A_pw44,24.09825,24.502375,see,False
47,sw2184A.break.48,24.679375,1,None,None,ms8A_pw45,24.502375,24.679375,from,False
48,sw2184A.break.49,24.818,1,None,None,ms8A_pw46,24.679375,24.818,the,False
49,sw2184A.break.50,25.307625,1,None,None,ms8A_pw47,24.818,25.307625,company's,False
50,sw2184A.break.51,25.986,4,None,None,ms8A_pw48,25.307625,25.986,standpoint,True
51,sw2184A.break.52,26.52825,2p,None,None,ms8A_pw49,26.21575,26.52825,that,False
52,sw2184A.break.53,26.97825,2p,None,None,ms8A_pw50,26.63825,26.97825,there,False
53,sw2184A.break.55,28.57825,1,None,None,ms8A_pw52,28.180625,28.57825,whenever,False
54,sw2184A.break.56,28.85825,1,None,None,ms8A_pw53,28.57825,28.85825,you,False
55,sw2184A.break.57,29.12475,1-,None,None,ms8A_pw54,28.85825,29.12475,are,False
56,sw2184A.break.58,29.234,1,None,None,ms8A_pw55,29.12475,29.234,an,False
57,sw2184A.break.59,29.87825,1-,None,None,ms8A_pw56,29.234,29.87825,employee,False
58,sw2184A.break.60,29.98375,1,None,None,ms8A_pw57,29.87825,29.98375,of,False
59,sw2184A.break.61,30.09675,1,None,None,ms8A_pw58,29.98375,30.09675,the,False
60,sw2184A.break.62,30.51825,4-,L,L,ms8A_pw59,30.09675,30.51825,company,True
61,sw2184A.break.63,30.7285,1,None,None,ms8A_pw60,30.51825,30.7285,you,False
62,sw2184A.break.64,30.947,1,None,None,ms8A_pw61,30.7285,30.947,are,False
63,sw2184A.break.65,31.27825,1,None,None,ms8A_pw62,30.947,31.27825,using,False
64,sw2184A.break.66,31.48825,1,None,None,ms8A_pw63,31.27825,31.48825,it's,False
65,sw2184A.break.67,32.0995,4,None,None,ms8A_pw64,31.48825,32.0995,assets,True
66,sw2184A.break.68,33.728,2p,None,None,ms9A_pw65,33.111,33.728,and,False
67,sw2184A.break.69,34.093625,X,None,None,ms9A_pw66,33.728,34.093625,uh,False
68,sw2184A.break.70,35.906625,X,None,X,ms10A_pw67,35.5195,35.906625,a[nd]-,False
69,sw2184A.break.71,36.17775,1,None,None,ms10A_pw68,35.906625,36.17775,bu[t]-,False
70,sw2184A.break.72,36.427625,1,None,None,ms10A_pw69,36.17775,36.427625,you're,False
71,sw2184A.break.73,36.837625,1,None,None,ms10A_pw70,36.427625,36.837625,also,False
72,sw2184A.break.74,37.127625,1,None,None,ms10A_pw71,36.837625,37.127625,under,False
73,sw2184A.break.75,37.307625,1,None,None,ms10A_pw72,37.127625,37.307625,their,False
74,sw2184A.break.76,38.09675,4,None,None,ms10A_pw73,37.307625,38.09675,liability,True
75,sw2184A.break.77,38.831875,1,None,None,ms10A_pw74,38.531,38.831875,under,False
76,sw2184A.break.78,38.975,1,None,None,ms10A_pw75,38.831875,38.975,the,False
77,sw2184A.break.79,39.4465,1,None,None,ms10A_pw76,38.975,39.4465,Workmen's,False
