,break_id,btime,index,phraseTone,boundaryTone,phonword_id,start,end,phonword,binary_break
0,sw2784A.break.1,2.267,3,None,None,ms2A_pw7,1.827,2.267,taxes,True
1,sw2784A.break.2,2.647,X,None,None,ms2A_pw9,2.387,2.647,guess,False
2,sw2784A.break.3,3.216,2p,None,None,ms2A_pw11,3.0069999999999997,3.216,i-,False
3,sw2784A.break.4,4.687,4,None,None,ms2A_pw18,4.407,4.687,money,True
4,sw2784A.break.5,5.251,X,None,None,ms2A_pw20,5.037,5.251,uh,False
5,sw2784A.break.6,6.91525,3,None,None,ms2A_pw25,6.397,6.91525,pay,True
6,sw2784A.break.7,7.484625,X,None,None,ms2A_pw26,6.91525,7.484625,um,False
7,sw2784A.break.8,8.677999999999999,2p,None,None,ms2A_pw30,8.427,8.677999999999999,a,False
8,sw2784A.break.9,10.247,3,None,None,ms2A_pw34,9.787,10.247,statement,True
9,sw2784A.break.10,10.96675,2p,None,None,ms2A_pw37,10.717,10.96675,i,False
10,sw2784A.break.11,13.405999999999999,4,None,None,ms3A_pw45,13.026375,13.405999999999999,for,True
11,sw2784A.break.12,16.019125,3,None,None,ms5A_pw49,15.759125,16.019125,though,True
12,sw2784A.break.13,17.169125,3,None,None,ms5A_pw52,16.490375,17.169125,feel,True
13,sw2784B.break.1,28.55675,3,None,None,ms4B_pw5,28.268375,28.55675,that,True
14,sw2784B.break.2,29.313875,X,None,None,ms4B_pw6,28.55675,29.313875,uh,False
15,sw2784B.break.3,31.797875,4,None,None,ms4B_pw18,31.488375,31.797875,that,True
16,sw2784B.break.4,34.860125,4,None,None,ms5B_pw30,34.550125,34.860125,go,True
17,sw2784A.break.14,53.15725,4,None,None,ms12A_pw126,52.92025,53.15725,of,True
18,sw2784A.break.15,54.422875,4,None,None,ms13A_pw129,54.222875,54.422875,there,True
19,sw2784A.break.16,55.722875,2p,None,None,ms13A_pw136,55.542875,55.722875,that,False
20,sw2784A.break.17,57.28775,4,None,None,ms13A_pw142,56.896625,57.28775,there,True
21,sw2784A.break.18,60.40525,3,None,None,ms14A_pw151,59.82525,60.40525,Storm,True
22,sw2784A.break.19,61.40525,3,None,None,ms14A_pw154,60.99525,61.40525,Shield,True
23,sw2784A.break.20,62.526125,4,None,None,ms14A_pw156,61.661625,62.526125,situations,True
24,sw2784A.break.21,63.964375,X,None,None,ms16A_pw157,63.725125,63.964375,uh,False
25,sw2784A.break.22,64.80125,3,None,None,ms16A_pw160,64.61125,64.80125,my,True
26,sw2784A.break.23,67.18125,3,None,None,ms16A_pw166,66.45125,67.18125,participated,True
27,sw2784A.break.24,67.49125,2p,None,None,ms16A_pw169,67.35125,67.49125,mi[litary]-,False
28,sw2784A.break.25,68.546625,4,None,None,ms16A_pw173,68.23125,68.546625,on,True
29,sw2784A.break.26,69.242,2p,None,None,ms16A_pw175,68.95125,69.242,the,False
30,sw2784A.break.27,72.00125,4,None,None,ms16A_pw187,71.69125,72.00125,nature,True
31,sw2784A.break.28,72.97125,3,None,None,ms16A_pw192,72.79125,72.97125,that,True
