,msstateID,msstate,accent_id,phonword_id,start,end,phonword,atype,strength,da,phrase_id,phrase_start,phrase_end,type,binary_accent
0,sw3349A-ms98-a-0001-2,sw3349A-ms98-a-0001,sw3349.A.acc1.aw2,ms1A_pw1,0.09775,0.41,well,Not Found: accent@type,full,wh_q,,,,,True
1,sw3349A-ms98-a-0001-4,sw3349A-ms98-a-0001,sw3349.A.acc2.aw4,ms1A_pw3,0.61,0.72,are,Not Found: accent@type,full,wh_q,,,,,True
2,sw3349A-ms98-a-0001-6,sw3349A-ms98-a-0001,sw3349.A.acc3.aw6,ms1A_pw5,0.91,1.29,hobbies,Not Found: accent@type,weak,wh_q,,,,,True
3,sw3349A-ms98-a-0003-11,sw3349A-ms98-a-0003,sw3349.A.acc4.aw11,ms3A_pw7,8.5115,8.7015,that,Not Found: accent@type,full,opinion,,,,,True
4,sw3349A-ms98-a-0003-13,sw3349A-ms98-a-0003,sw3349.A.acc5.aw13,ms3A_pw9,8.9515,9.4315,interesting,Not Found: accent@type,weak,opinion,,,,,True
5,sw3349A-ms98-a-0003-15,sw3349A-ms98-a-0003,sw3349.A.acc6.aw15,ms3A_pw11,9.5615,9.8715,kinds,Not Found: accent@type,full,wh_q,,,,,True
6,sw3349A-ms98-a-0003-18,sw3349A-ms98-a-0003,sw3349.A.acc7.aw18,ms3A_pw14,10.1515,10.4515,sweat,Not Found: accent@type,full,wh_q,,,,,True
7,sw3349A-ms98-a-0003-21,sw3349A-ms98-a-0003,sw3349.A.acc8.aw21,ms3A_pw17,10.8915,11.3415,T-shirts,Not Found: accent@type,full,wh_q,,,,,True
9,sw3349A-ms98-a-0003-24,sw3349A-ms98-a-0003,sw3349.A.acc9.aw24,ms3A_pw20,11.5215,11.86675,make,Not Found: accent@type,full,wh_q,,,,,True
10,sw3349A-ms98-a-0005-28,sw3349A-ms98-a-0005,sw3349.A.acc10.aw28,ms5A_pw21,15.705375,16.191,okay,Not Found: accent@type,full,backchannel,,,,,True
