,break_id,btime,index,phraseTone,boundaryTone,phonword_id,start,end,phonword,binary_break
0,sw2395A.break.2,1.37175,1,None,None,ms2A_pw1,1.27175,1.37175,where,False
1,sw2395A.break.3,1.46175,1,None,None,ms2A_pw2,1.37175,1.46175,do,False
2,sw2395A.break.4,1.54175,1,None,None,ms2A_pw3,1.46175,1.54175,you,False
3,sw2395A.break.5,1.69175,1,None,None,ms2A_pw4,1.54175,1.69175,get,False
4,sw2395A.break.6,1.93175,1,None,None,ms2A_pw5,1.69175,1.93175,most,False
5,sw2395A.break.7,1.93175,1,None,None,ms2A_pw5,1.69175,1.93175,most,False
6,sw2395A.break.8,2.10175,1,None,None,ms2A_pw7,1.99175,2.10175,your,False
7,sw2395A.break.9,2.45175,4,None,None,ms2A_pw8,2.10175,2.45175,news,True
8,sw2395B.break.2,3.915,4-,None,None,ms2B_pw1,3.09075,3.915,i,True
9,sw2395B.break.3,4.906625,3,H,None,ms2B_pw2,4.185625,4.906625,watch,True
10,sw2395B.break.4,5.036625,1,None,None,ms2B_pw3,4.906625,5.036625,the,False
11,sw2395B.break.5,5.446625,1,None,None,ms2B_pw4,5.036625,5.446625,MacNeil,False
12,sw2395B.break.6,5.706625,1,None,None,ms2B_pw5,5.446625,5.706625,Lehrer,False
13,sw2395B.break.7,6.026625,1,None,None,ms2B_pw6,5.706625,6.026625,news,False
14,sw2395B.break.8,6.616625,4,H,L,ms2B_pw7,6.026625,6.616625,hour,True
15,sw2395B.break.9,7.076625,2,None,None,ms2B_pw8,6.616625,7.076625,and,False
16,sw2395B.break.10,7.186625,1,None,None,ms2B_pw9,7.076625,7.186625,i,False
17,sw2395B.break.11,7.796625,1,None,None,ms2B_pw10,7.186625,7.796625,subscribe,False
18,sw2395B.break.12,7.876625,1,None,None,ms2B_pw11,7.796625,7.876625,to,False
19,sw2395B.break.13,7.936625,1,None,None,ms2B_pw12,7.876625,7.936625,the,False
20,sw2395B.break.14,8.206625,1,None,None,ms2B_pw13,7.936625,8.206625,paper,False
21,sw2395B.break.15,8.276625,1,None,None,ms2B_pw14,8.206625,8.276625,on,False
22,sw2395B.break.16,8.336625,1,None,None,ms2B_pw15,8.276625,8.336625,the,False
23,sw2395B.break.17,8.826625,4,None,None,ms2B_pw16,8.336625,8.826625,weekends,True
24,sw2395A.break.10,10.071125,1p,None,None,ms4A_pw10,9.781125,10.071125,where,False
25,sw2395A.break.11,10.071125,1,None,None,ms4A_pw10,9.781125,10.071125,where,False
26,sw2395A.break.12,10.181125,1,None,None,ms4A_pw11,10.071125,10.181125,are,False
27,sw2395A.break.13,10.501375,4,None,None,ms4A_pw12,10.181125,10.501375,you,True
28,sw2395B.break.18,10.880875,1,None,None,ms4B_pw17,10.700875,10.880875,i'm,False
29,sw2395B.break.19,10.960875,1,None,None,ms4B_pw18,10.880875,10.960875,in,False
30,sw2395B.break.20,11.350875,4,None,None,ms4B_pw19,10.960875,11.350875,Dallas,True
31,sw2395A.break.14,11.791875,X,None,None,ms4A_pw13,11.370625,11.791875,oh,False
32,sw2395A.break.15,12.382125,4,None,None,ms4A_pw14,12.050375,12.382125,yeah,True
33,sw2395B.break.21,12.833875,1,None,None,ms5B_pw20,12.743875,12.833875,are,False
34,sw2395B.break.22,12.893875,1,None,None,ms5B_pw21,12.833875,12.893875,you,False
35,sw2395B.break.23,12.953875,1,None,None,ms5B_pw22,12.893875,12.953875,in,False
36,sw2395B.break.24,13.233875,1,None,None,ms5B_pw23,12.953875,13.233875,Dallas,False
37,sw2395B.break.25,13.563875,4,None,None,ms5B_pw24,13.233875,13.563875,also,True
38,sw2395A.break.16,13.813125,3,L,None,ms5A_pw15,13.573125,13.813125,no,True
39,sw2395A.break.17,13.953125,0,None,None,ms5A_pw16,13.813125,13.953125,i'm,False
40,sw2395A.break.18,14.043125,1,None,None,ms5A_pw17,13.953125,14.043125,in,False
41,sw2395A.break.19,14.163125,1,None,None,ms5A_pw18,14.043125,14.163125,San,False
42,sw2395A.break.20,14.853125,4,None,None,ms5A_pw19,14.163125,14.853125,Antonio,True
43,sw2395B.break.26,15.194875,X,None,X,ms6B_pw25,14.994875,15.194875,oh,False
44,sw2395B.break.27,15.484875,4,H,L,ms6B_pw26,15.194875,15.484875,really,True
45,sw2395A.break.21,15.965625,1,None,None,ms6A_pw20,15.486375,15.965625,um-hum,False
46,sw2395A.break.22,15.965625,X,None,None,ms6A_pw20,15.486375,15.965625,um-hum,False
47,sw2395B.break.28,15.98825,4,None,None,ms6B_pw27,15.484875,15.98825,okay,True
48,sw2395A.break.24,16.576375,1,None,None,ms6A_pw23,16.466375,16.576375,my,False
49,sw2395A.break.25,16.916375,2,None,None,ms6A_pw24,16.576375,16.916375,news,False
50,sw2395A.break.26,17.246375,2p,None,None,ms6A_pw25,16.916375,17.246375,from,False
51,sw2395A.break.27,17.44475,1,None,None,ms6A_pw26,17.33925,17.44475,a,False
52,sw2395A.break.28,18.006375,1,None,None,ms6A_pw27,17.44475,18.006375,combination,False
53,sw2395A.break.29,18.156375,1,None,None,ms6A_pw28,18.006375,18.156375,of,False
54,sw2395A.break.30,18.436375,4,L,L,ms6A_pw29,18.156375,18.436375,sources,True
55,sw2395A.break.31,18.506375,1,None,None,ms6A_pw30,18.436375,18.506375,i,False
56,sw2395A.break.32,18.826375,1,None,None,ms6A_pw31,18.506375,18.826375,take,False
57,sw2395A.break.33,19.186375,2p,None,None,ms6A_pw33,19.046375,19.186375,the,False
58,sw2395A.break.34,19.186375,1,None,None,ms6A_pw33,19.046375,19.186375,the,False
59,sw2395A.break.35,19.536375,1,None,None,ms6A_pw34,19.186375,19.536375,paper,False
60,sw2395A.break.36,20.238375,4,None,None,ms6A_pw35,19.536375,20.238375,everyday,True
61,sw2395B.break.29,20.675375,X,None,None,ms8B_pw28,20.22775,20.675375,um-hum,False
62,sw2395A.break.37,20.8955,1,None,None,ms6A_pw36,20.77075,20.8955,and,False
63,sw2395A.break.38,21.038625,1,None,None,ms6A_pw37,20.8955,21.038625,i,False
64,sw2395A.break.39,21.256375,1,None,None,ms6A_pw38,21.038625,21.256375,read,False
65,sw2395A.break.40,21.416375,2p,None,None,ms6A_pw39,21.256375,21.416375,it,False
66,sw2395A.break.41,21.916375,1,None,None,ms6A_pw40,21.776375,21.916375,on,False
67,sw2395A.break.42,21.976375,1,None,None,ms6A_pw41,21.916375,21.976375,the,False
