,break_id,btime,index,phraseTone,boundaryTone,phonword_id,start,end,phonword,binary_break
0,sw4168A.break.2,0.276625,1p,None,None,ms1A_pw1,0.12575,0.276625,what,False
1,sw4168A.break.3,0.47,1,None,None,ms1A_pw2,0.37725,0.47,what,False
2,sw4168A.break.4,0.53,0,None,None,ms1A_pw3,0.47,0.53,were,False
3,sw4168A.break.5,0.59,0,None,None,ms1A_pw4,0.53,0.59,you,False
4,sw4168A.break.6,0.882375,4,None,None,ms1A_pw5,0.59,0.882375,saying,True
5,sw4168B.break.2,1.6030000000000002,4,H,H,ms2B_pw1,1.24825,1.6030000000000002,okay,True
6,sw4168B.break.3,1.82,1p,None,None,ms2B_pw2,1.6030000000000002,1.82,i-,False
7,sw4168B.break.4,1.82,1,None,None,ms2B_pw2,1.6030000000000002,1.82,i-,False
8,sw4168B.break.5,2.073,1,None,None,ms2B_pw4,1.906625,2.073,think,False
9,sw4168B.break.6,2.1830000000000003,1,None,None,ms2B_pw5,2.073,2.1830000000000003,we're,False
10,sw4168B.break.7,2.523,3-,L,None,ms2B_pw6,2.1830000000000003,2.523,started,True
11,sw4168B.break.8,2.8015,4,None,None,ms2B_pw7,2.523,2.8015,now,True
12,sw4168A.break.7,2.96275,X,None,X,ms3A_pw6,2.76,2.96275,oh,False
13,sw4168A.break.8,3.290375,4,None,None,ms3A_pw7,2.96275,3.290375,okay,True
14,sw4168B.break.9,3.976875,X,None,X,ms3B_pw8,3.5985,3.976875,uh,False
15,sw4168B.break.10,4.206875,0,None,None,ms3B_pw9,3.976875,4.206875,do,False
16,sw4168B.break.11,4.266875,1,None,None,ms3B_pw10,4.206875,4.266875,you,False
17,sw4168B.break.12,4.426875,1,None,None,ms3B_pw11,4.266875,4.426875,wanna,False
18,sw4168B.break.13,4.546875,0,None,None,ms3B_pw12,4.426875,4.546875,go,False
19,sw4168B.break.14,4.676875,1,None,None,ms3B_pw13,4.546875,4.676875,ahead,False
20,sw4168B.break.15,4.766875,1,None,None,ms3B_pw14,4.676875,4.766875,and,False
21,sw4168B.break.16,5.038125,4,None,None,ms3B_pw15,4.766875,5.038125,start,True
22,sw4168A.break.9,6.119,X,None,X,ms5A_pw8,5.66475,6.119,um,False
