,peak_time,x,ton,syl_id,wrd_id,prominent_syll
0,0.110865,115,H*,0,0,True
1,0.110865,115,HiF0,1,0,False
2,0.64856,115,!H*,2,1,True
3,0.864746,115,L-,3,1,False
4,1.036587,115,HiF0,4,2,False
5,1.053216,115,H*,5,2,True
6,1.297119,115,!H*,6,3,True
7,1.385811,115,!H-,7,3,False
8,1.8459,115,L+H*,8,6,True
9,1.856987,115,HiF0,9,6,False
10,2.500003,115,L+!H*,10,8,False
11,2.721733,115,-?,11,8,False
12,3.115304,115,L+!H*,12,10,False
13,3.51996,115,L-L%,13,10,False
14,3.791574,115,H*,14,11,True
15,4.24612,115,L+H*,15,12,True
16,5.144128,115,L+H*,16,15,True
17,5.144128,115,HiF0,17,15,False
18,5.482264,115,L-L%,18,15,False
19,5.770511,115,H*,19,17,True
20,5.770511,115,HiF0,20,17,False
21,5.970068,115,H-,21,17,False
22,6.352551,115,H+!H*,22,19,False
23,6.818184,115,H+!H*,23,21,False
24,7.123062,115,H*,24,22,True
25,7.123062,115,HiF0,25,22,False
26,7.422398,115,L-L%,26,22,False
27,8.292685,115,L+H*,27,25,True
28,8.292685,115,HiF0,28,25,False
29,8.769404,115,L-H%,29,26,False
30,9.135256,115,HiF0,30,28,False
31,9.162972,115,H*,31,28,True
32,9.362529,115,H*,32,29,True
33,9.70621,115,H*,33,31,True
34,9.905767,115,!H-,34,31,False
35,10.177386,115,H*,35,34,True
36,10.925724,115,H*,36,35,True
37,10.925724,115,HiF0,37,35,False
38,11.17517,115,L-,38,35,False
39,11.886503,115,HiF0,39,38,False
40,11.892046,115,H*,40,38,True
41,12.141492,115,X*?,41,39,False
42,12.407568,115,X*?,42,39,False
43,12.485173,115,<,43,39,False
44,12.640384,115,X*?,44,40,False
45,12.756792,115,<,45,40,False
46,12.912003,115,X*?,46,41,False
47,13.327746,115,H*,47,42,True
48,13.649255,115,L-L%,48,42,False
49,13.981845,115,H*,49,43,True
50,13.981845,115,HiF0,50,43,False
51,14.475194,115,L-L%,51,43,False
52,14.940827,115,H*,52,45,True
53,14.940827,115,HiF0,53,45,False
54,15.617102,115,L-L%,54,46,False
55,16.138167,115,H*,55,47,True
56,16.343268,115,HiF0,56,48,False
57,16.359897,115,H*,57,48,True
58,16.731295,115,!H*,58,50,True
59,17.180298,115,H*,59,51,True
60,17.4242,115,L-L%,60,52,False
61,17.956348,115,L+H*,61,54,True
62,17.989608,115,HiF0,62,54,False
63,18.67697,115,L*,63,57,True
64,18.915329,115,L-H%,64,57,False
65,19.336616,115,H*,65,59,True
66,19.336616,115,HiF0,66,59,False
67,19.469654,115,L-,67,59,False
68,19.597149,115,L*,68,60,True
69,20.262338,115,HiF0,69,61,False
70,20.278968,115,H*,70,61,True
71,20.406462,115,L-L%,71,61,False
72,21.465217,115,L+H*,72,63,True
73,21.50402,115,HiF0,73,63,False
74,22.074974,115,!H*,74,64,True
75,22.657015,115,L+!H*,75,65,False
76,22.961893,115,L-L%,76,66,False
77,23.105897,115,H*,77,66,True
78,23.693481,115,L+H*,78,68,True
79,24.397473,115,L+H*,79,71,True
80,24.430733,115,HiF0,80,71,False
81,24.685722,115,L-L%,81,72,False
82,24.901908,115,H*,82,72,True
83,25.461776,115,L+H*,83,75,True
84,25.495036,115,HiF0,84,75,False
85,25.716765,115,L-,85,75,False
86,26.132509,115,H*,86,78,True
87,26.132509,115,HiF0,87,78,False
88,26.276633,115,L-H%,88,78,False
89,26.736717,115,H*,89,79,True
90,27.158004,115,HiF0,90,80,False
91,27.196807,115,L+H*,91,80,True
92,27.551574,115,!H*,92,81,True
93,27.64581,115,!H-,93,81,False
94,27.823193,115,H*,94,82,True
95,28.161331,115,L+H*,95,83,True
96,28.649137,115,L+H*,96,85,True
97,29.186832,115,H*,97,86,True
98,29.314326,115,<,98,86,False
99,29.319869,115,HiF0,99,86,False
100,29.774415,115,L-L%,100,87,False
101,30.305549,115,HiF0,101,89,False
102,30.343188,115,H*,102,89,True
103,30.870598,115,H*,103,91,True
104,31.512825,115,L+H*,104,93,True
105,31.829804,115,L-L%,105,93,False
106,32.123498,115,L+H*,106,95,True
107,32.145548,115,HiF0,107,95,False
108,32.74643,115,L-H%,108,96,False
109,32.840145,115,HiF0,109,98,False
110,32.917323,115,H*,110,98,True
111,33.165393,115,L-L%,111,98,False
